Category,Item,Calories / Serving Size,Calories From Fat / Serving Size,Total Fat (g),Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars / Serving (g),Protein / Serving Size,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
Lunch,Quarter Pounder Deluxe,62.79069767,29.06976744,27,42,11,54,1.5,85,28,960,40,45,15,3,13,1.046511628,3.4,10,8,25,30
Lunch,Double Quarter Pounder with Cheese,75,38,43,66,19,96,2.5,160,53,1280,53,42,14,3,11,1,4.8,10,2,30,35
Lunch,Hamburger,68.57142857,20,8,12,3,15,0,30,10,480,20,32,11,1,6,1.714285714,3.4,2,2,10,15
Lunch,Cheeseburger,72.5,25,11,18,5,27,0.5,45,15,680,28,33,11,2,7,1.75,3.8,6,2,20,15
Lunch,Double Cheeseburger,75.43859649,33.33333333,21,32,10,52,1,90,30,1040,43,35,12,2,8,1.228070175,4.2,10,2,30,20
Lunch,Bacon Clubhouse Burger,75.78947368,37.89473684,40,62,15,75,1.5,115,38,1470,61,51,17,4,14,1.473684211,4.1,8,25,30,25
Lunch,McDouble,73.07692308,28.84615385,17,26,8,40,1,75,25,840,35,34,11,2,7,1.346153846,4.2,6,2,20,20
Lunch,Bacon McDouble,77.19298246,35.0877193,22,34,10,49,1,90,30,1110,46,35,12,2,7,1.228070175,4.7,6,10,20,20
Lunch,Daily Double,64.17910448,29.85074627,22,35,9,44,1,80,27,760,32,34,11,2,8,1.044776119,3.3,8,8,20,20
Lunch,Jalapeño Double,76.78571429,37.5,23,36,9,44,1,80,27,1030,43,35,12,2,7,1.071428571,3.9,6,8,20,20
Lunch,McRib,68.49315068,32.87671233,26,40,10,48,0,70,23,980,41,44,15,3,10,1.506849315,3,2,2,15,20
Lunch,Premium Crispy Chicken Classic Sandwich,68,26.66666667,22,33,3.5,18,0,45,16,990,41,55,18,3,13,1.333333333,3.2,4,6,15,20
